Location,FileName,Point_ID,Kind,Transect_ID,Type,Station_nom_m,Track,Seq,Northing,Easting,Elevation_ft,Elevation_m,Distance_m,Lat,Lon,CRS
San Pablo,san-pablo-final.csv,s2-tile-2a,tile,S2,tile,2,a,,1804100.694,6425225.929,5.643,1.720,1.35,38.1151209,-122.4742011,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s2-tile-2b,tile,S2,tile,2,b,,1804100.766,6425225.373,5.810,1.771,1.39,38.1151211,-122.4742030,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s2-tile-2c,tile,S2,tile,2,c,,1804100.742,6425225.009,5.814,1.772,1.40,38.1151210,-122.4742043,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s2-tile-6a,tile,S2,tile,6,a,,1804114.105,6425224.493,6.023,1.836,5.46,38.1151577,-122.4742063,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s2-tile-6b,tile,S2,tile,6,b,,1804113.973,6425223.943,6.024,1.836,5.44,38.1151573,-122.4742082,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s2-tile-6c,tile,S2,tile,6,c,,1804113.929,6425223.615,5.976,1.821,5.44,38.1151572,-122.4742094,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s2-tile-12a,tile,S2,tile,12,a,,1804133.686,6425222.405,6.215,1.894,11.47,38.1152114,-122.4742139,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s2-tile-12b,tile,S2,tile,12,b,,1804133.715,6425221.968,6.206,1.892,11.49,38.1152115,-122.4742154,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s2-tile-12c,tile,S2,tile,12,c,,1804133.626,6425221.514,6.205,1.891,11.48,38.1152112,-122.4742170,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s2-tile-18a,tile,S2,tile,18,a,,1804153.103,6425220.409,6.450,1.966,17.41,38.1152647,-122.4742212,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s2-tile-18b,tile,S2,tile,18,b,,1804153.311,6425219.785,6.494,1.979,17.50,38.1152653,-122.4742234,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s2-tile-18c,tile,S2,tile,18,c,,1804153.409,6425219.325,6.462,1.970,17.54,38.1152655,-122.4742250,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s2-tile-24a,tile,S2,tile,24,a,,1804173.029,6425218.49,6.614,2.016,23.52,38.1153194,-122.4742282,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s2-tile-24b,tile,S2,tile,24,b,,1804173.281,6425217.988,6.579,2.005,23.61,38.1153201,-122.4742300,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s2-tile-24c,tile,S2,tile,24,c,,1804173.145,6425217.602,6.619,2.017,23.58,38.1153197,-122.4742313,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s2-tiles-48a,tile,S2,tile,48,a,,1804250.99,6425210.001,6.506,1.983,47.42,38.1155333,-122.4742592,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s2-tiles-48b,tile,S2,tile,48,b,,1804251.004,6425209.613,6.568,2.002,47.44,38.1155334,-122.4742605,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s2-tiles-48c,tile,S2,tile,48,c,,1804251.082,6425209.158,6.534,1.992,47.47,38.1155336,-122.4742621,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-green-0.5a,green,S1,green,0.5,a,,1804107.978,6425342.092,5.772,1.759,0.04,38.1151425,-122.4737975,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-green-0.5b,green,S1,green,0.5,b,,1804107.937,6425341.336,5.751,1.753,0.02,38.1151424,-122.4738001,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-green-0.5c,green,S1,green,0.5,c,,1804108.007,6425340.63,5.752,1.753,0.04,38.1151426,-122.4738026,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-green-2a,green,S1,green,2,a,,1804113.151,6425340.418,5.834,1.778,1.60,38.1151567,-122.4738034,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-green-2b,green,S1,green,2,b,,1804113.162,6425339.682,5.899,1.798,1.60,38.1151567,-122.4738060,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-green-2c,green,S1,green,2,c,,1804113.227,6425339.053,5.936,1.809,1.62,38.1151569,-122.4738082,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-green-6a,green,S1,green,6,a,,1804126.042,6425342.273,6.079,1.853,5.54,38.1151921,-122.4737972,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-green-6b,green,S1,green,6,b,,1804125.942,6425341.343,6.036,1.840,5.51,38.1151919,-122.4738004,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-green-6c,green,S1,green,6,c,,1804125.925,6425340.564,6.008,1.831,5.50,38.1151918,-122.4738031,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-green-12-a,green,S1,green,12,a,,1804145.875,6425342.122,6.346,1.934,11.59,38.1152466,-122.4737981,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-green-12-b,green,S1,green,12,b,,1804145.883,6425341.389,6.368,1.941,11.58,38.1152466,-122.4738006,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-green-12-c,green,S1,green,12,c,,1804145.801,6425340.72,6.343,1.933,11.55,38.1152464,-122.4738030,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-green-18-a,green,S1,green,18,a,,1804164.949,6425343.062,6.593,2.010,17.41,38.1152990,-122.4737952,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-green-18-b,green,S1,green,18,b,,1804164.878,6425342.368,6.624,2.019,17.38,38.1152988,-122.4737976,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-green-18-c,green,S1,green,18,c,,1804165.035,6425341.689,6.614,2.016,17.42,38.1152992,-122.4737999,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-green-24-a,green,S1,green,24,a,,1804184.546,6425343.858,6.713,2.046,23.38,38.1153528,-122.4737927,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-green-24-b,green,S1,green,24,b,,1804184.377,6425343.063,6.688,2.039,23.33,38.1153523,-122.4737955,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-green-24-c,green,S1,green,24,c,,1804184.398,6425342.559,6.704,2.043,23.33,38.1153524,-122.4737973,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-green-48-a,green,S1,green,48,a,,1804263.413,6425345.714,6.745,2.056,47.43,38.1155694,-122.4737877,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-green-48-b,green,S1,green,48,b,,1804263.381,6425345.091,6.668,2.032,47.41,38.1155693,-122.4737899,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-green-48-c,green,S1,green,48,c,,1804263.319,6425344.284,6.668,2.032,47.39,38.1155691,-122.4737927,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s2-green-0.5a,green,S2,green,0.5,a,,1804096.416,6425225.36,5.719,1.743,0.07,38.1151091,-122.4742030,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s2-green-0.5b,green,S2,green,0.5,b,,1804096.407,6425224.875,5.777,1.761,0.09,38.1151091,-122.4742047,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s2-green-0.5c,green,S2,green,0.5,c,,1804096.368,6425224.022,5.701,1.738,0.10,38.1151090,-122.4742076,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s2-green-2a,green,S2,green,2,a,,1804100.812,6425224.547,5.802,1.768,1.43,38.1151212,-122.4742059,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s2-green-2b,green,S2,green,2,b,,1804100.884,6425223.917,5.777,1.761,1.48,38.1151214,-122.4742081,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s2-green-2c,green,S2,green,2,c,,1804100.868,6425223.072,5.851,1.783,1.50,38.1151213,-122.4742110,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s2-green-6a,green,S2,green,6,a,,1804113.822,6425223.196,5.985,1.824,5.42,38.1151569,-122.4742108,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s2-green-6b,green,S2,green,6,b,,1804113.621,6425222.616,5.914,1.803,5.38,38.1151563,-122.4742128,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s2-green-6c,green,S2,green,6,c,,1804113.471,6425221.863,5.966,1.818,5.36,38.1151559,-122.4742154,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s2-green-12a,green,S2,green,12,a,,1804133.598,6425221.062,6.235,1.900,11.48,38.1152112,-122.4742186,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s2-green-12b,green,S2,green,12,b,,1804133.396,6425220.435,6.212,1.893,11.44,38.1152106,-122.4742208,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s2-green-12c,green,S2,green,12,c,,1804133.307,6425219.869,6.200,1.890,11.43,38.1152103,-122.4742227,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s2-green-18a,green,S2,green,18,a,,1804153.687,6425218.97,6.479,1.975,17.64,38.1152663,-122.4742262,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s2-green-18b,green,S2,green,18,b,,1804153.587,6425218.144,6.481,1.975,17.64,38.1152660,-122.4742291,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s2-green-18c,green,S2,green,18,c,,1804153.761,6425217.53,6.454,1.967,17.71,38.1152665,-122.4742312,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s2-green-24a,green,S2,green,24,a,,1804173.021,6425217.312,6.649,2.027,23.55,38.1153193,-122.4742323,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s2-green-24b,green,S2,green,24,b,,1804172.943,6425216.679,6.592,2.009,23.55,38.1153191,-122.4742345,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s2-green-24c,green,S2,green,24,c,,1804172.932,6425216.125,6.667,2.032,23.56,38.1153191,-122.4742365,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s2-green-48a,green,S2,green,48,a,,1804251.042,6425208.993,6.572,2.003,47.47,38.1155335,-122.4742627,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s2-green-48b,green,S2,green,48,b,,1804251.042,6425208.172,6.567,2.002,47.49,38.1155334,-122.4742655,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s2-green-48c,green,S2,green,48,c,,1804251.037,6425207.505,6.572,2.003,47.51,38.1155334,-122.4742678,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-ep-1,ep,S1,elevation profile,,,1,1804067.633,6425342.75,3.121,0.951,-12.25,38.1150318,-122.4737945,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-ep-2,ep,S1,elevation profile,,,2,1804073.226,6425342.584,4.030,1.228,-10.55,38.1150471,-122.4737952,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-ep-3,ep,S1,elevation profile,,,3,1804078.906,6425342.232,4.045,1.233,-8.82,38.1150627,-122.4737965,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-ep-4,ep,S1,elevation profile,,,4,1804085.414,6425343.051,4.715,1.437,-6.83,38.1150806,-122.4737938,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-ep-5,ep,S1,elevation profile,,,5,1804089.867,6425342.851,4.895,1.492,-5.48,38.1150928,-122.4737945,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-ep-6,ep,S1,elevation profile,,,6,1804096.323,6425343.575,5.272,1.607,-3.50,38.1151106,-122.4737921,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-ep-7,ep,S1,elevation profile,,,7,1804101.978,6425343.796,5.665,1.727,-1.78,38.1151261,-122.4737915,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-ep-8,ep,S1,elevation profile,,,8,1804107.473,6425343.88,5.735,1.748,-0.10,38.1151412,-122.4737913,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-ep-9,ep,S1,elevation profile,,,9,1804115.348,6425344.171,5.865,1.788,2.30,38.1151628,-122.4737904,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-ep-10,ep,S1,elevation profile,,,10,1804121.192,6425343.824,5.839,1.780,4.08,38.1151788,-122.4737917,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-ep-11,ep,S1,elevation profile,,,11,1804128.616,6425344.163,6.132,1.869,6.34,38.1151992,-122.4737907,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-ep-12,ep,S1,elevation profile,,,12,1804133.906,6425344.574,6.182,1.884,7.96,38.1152138,-122.4737893,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-ep-13,ep,S1,elevation profile,,,13,1804141.088,6425344.548,6.269,1.911,10.14,38.1152335,-122.4737896,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-ep-14,ep,S1,elevation profile,,,14,1804146.198,6425344.187,6.337,1.932,11.70,38.1152475,-122.4737909,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-ep-15,ep,S1,elevation profile,,,15,1804158.523,6425343.724,6.570,2.003,15.45,38.1152813,-122.4737927,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-ep-16,ep,S1,elevation profile,,,16,1804166.467,6425344.754,6.551,1.997,17.88,38.1153032,-122.4737893,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-ep-17,ep,S1,elevation profile,,,17,1804176.331,6425344.317,6.668,2.032,20.88,38.1153303,-122.4737910,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-ep-18,ep,S1,elevation profile,,,18,1804185.301,6425345.59,6.687,2.038,23.62,38.1153549,-122.4737867,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-ep-19,ep,S1,elevation profile,,,19,1804194.974,6425345.51,6.676,2.035,26.57,38.1153815,-122.4737872,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-ep-20,ep,S1,elevation profile,,,20,1804202.01,6425344.916,6.673,2.034,28.71,38.1154008,-122.4737894,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-ep-21,ep,S1,elevation profile,,,21,1804209.784,6425346.516,6.710,2.045,31.09,38.1154221,-122.4737840,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-ep-22,ep,S1,elevation profile,,,22,1804215.492,6425346.219,6.704,2.043,32.83,38.1154378,-122.4737851,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-ep-23,ep,S1,elevation profile,,,23,1804223.523,6425346.43,6.651,2.027,35.28,38.1154599,-122.4737845,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-ep-24,ep,S1,elevation profile,,,24,1804228.339,6425345.576,6.612,2.015,36.74,38.1154731,-122.4737876,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-ep-25,ep,S1,elevation profile,,,25,1804234.454,6425347.126,6.632,2.021,38.61,38.1154899,-122.4737823,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-ep-26,ep,S1,elevation profile,,,26,1804248.076,6425348.88,6.693,2.040,42.78,38.1155273,-122.4737764,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-ep-27,ep,S1,elevation profile,,,27,1804256.837,6425348.453,6.674,2.034,45.44,38.1155514,-122.4737781,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-ep-28,ep,S1,elevation profile,,,28,1804264.591,6425347.403,6.713,2.046,47.80,38.1155726,-122.4737819,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-ep-29,ep,S1,elevation profile,,,29,1804274.964,6425347.662,6.705,2.044,50.96,38.1156011,-122.4737812,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-ep-30,ep,S1,elevation profile,,,30,1804287.152,6425348.092,6.723,2.049,54.68,38.1156346,-122.4737799,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-ep-31-fixed,ep,S1,elevation profile,,,31,1804293.945,6425348.764,6.603,2.013,56.75,38.1156533,-122.4737777,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-ep-32-fixed,ep,S1,elevation profile,,,32,1804305.551,6425347.854,6.614,2.016,60.28,38.1156851,-122.4737811,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-ep-33-fixed,ep,S1,elevation profile,,,33,1804315.145,6425348.823,6.602,2.012,63.21,38.1157115,-122.4737779,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-ep-34-fixed,ep,S1,elevation profile,,,34,1804327.92,6425350.717,6.555,1.998,67.12,38.1157466,-122.4737715,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-ep-35-fixed,ep,S1,elevation profile,,,35,1804342.736,6425352.423,6.530,1.990,71.64,38.1157873,-122.4737658,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-ep-36-fixed,ep,S1,elevation profile,,,36,1804352.774,6425353.604,6.550,1.996,74.71,38.1158149,-122.4737619,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-ep-37-fixed,ep,S1,elevation profile,,,37,1804363.459,6425355.557,6.507,1.983,77.98,38.1158442,-122.4737553,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-ep-38-fixed,ep,S1,elevation profile,,,38,1804371.837,6425355.762,6.511,1.985,80.54,38.1158672,-122.4737548,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-ep-39-fixed,ep,S1,elevation profile,,,39,1804380.285,6425355.285,6.528,1.990,83.11,38.1158904,-122.4737566,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-ep-40-fixed,ep,S1,elevation profile,,,40,1804391.577,6425355.973,6.512,1.985,86.55,38.1159214,-122.4737544,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-ep-41-fixed,ep,S1,elevation profile,,,41,1804403.381,6425357.857,6.602,2.012,90.16,38.1159539,-122.4737481,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-ep-42-fixed,ep,S1,elevation profile,,,42,1804412.675,6425358.568,6.563,2.000,93.00,38.1159794,-122.4737458,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-ep-43-fixed,ep,S1,elevation profile,,,43,1804430.672,6425361.002,6.505,1.983,98.50,38.1160289,-122.4737376,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-ep-44-fixed,ep,S1,elevation profile,,,44,1804440.941,6425361.315,6.475,1.974,101.63,38.1160571,-122.4737367,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-ep-45-fixed,ep,S1,elevation profile,,,45,1804451.946,6425363.039,6.474,1.973,105.00,38.1160873,-122.4737309,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s2-ep-1,ep,S2,elevation profile,,,1,1804048.392,6425234.293,2.750,0.838,-14.77,38.1149774,-122.4741711,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s2-ep-2,ep,S2,elevation profile,,,2,1804053.625,6425232.509,3.415,1.041,-13.13,38.1149917,-122.4741774,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s2-ep-3,ep,S2,elevation profile,,,3,1804059.265,6425231.547,3.948,1.203,-11.39,38.1150072,-122.4741808,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s2-ep-4,ep,S2,elevation profile,,,4,1804067.216,6425230.453,4.596,1.401,-8.94,38.1150290,-122.4741848,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s2-ep-5,ep,S2,elevation profile,,,5,1804074.483,6425229.486,4.908,1.496,-6.71,38.1150490,-122.4741882,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s2-ep-6,ep,S2,elevation profile,,,6,1804079.613,6425228.336,5.291,1.613,-5.12,38.1150630,-122.4741923,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s2-ep-7,ep,S2,elevation profile,,,7,1804085.722,6425227.427,5.386,1.642,-3.23,38.1150798,-122.4741956,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s2-ep-8,ep,S2,elevation profile,,,8,1804091.076,6425226.829,5.645,1.721,-1.59,38.1150945,-122.4741978,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s2-ep-9,ep,S2,elevation profile,,,9,1804097.639,6425226.549,5.826,1.776,0.41,38.1151125,-122.4741989,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s2-ep-10,ep,S2,elevation profile,,,10,1804104.998,6425225.753,5.909,1.801,2.66,38.1151327,-122.4742018,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s2-ep-11,ep,S2,elevation profile,,,11,1804112.565,6425224.865,6.026,1.837,4.98,38.1151535,-122.4742050,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s2-ep-12,ep,S2,elevation profile,,,12,1804116.227,6425224.891,6.027,1.837,6.09,38.1151635,-122.4742050,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s2-ep-13,ep,S2,elevation profile,,,13,1804124.131,6425224.248,6.100,1.859,8.51,38.1151852,-122.4742074,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s2-ep-14,ep,S2,elevation profile,,,14,1804131.576,6425223.328,6.209,1.893,10.80,38.1152056,-122.4742107,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s2-ep-15,ep,S2,elevation profile,,,15,1804143.275,6425222.736,6.306,1.922,14.36,38.1152377,-122.4742130,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s2-ep-16,ep,S2,elevation profile,,,16,1804150.158,6425221.16,6.385,1.946,16.50,38.1152566,-122.4742186,CA zone II (EPSG:2226)
